Fact_ID;Fecha;Productos FK;País FK;Ingresos;Gastos;Beneficios;Margenes
1;2017/01/01;7;1;66319,70378;56708,15251;9611,551273;0,169491525
2;2017/01/01;7;2;88128,95446;73914,60697;14214,34749;0,192307692
3;2017/01/01;1;1;130447,0207;86964,68044;43482,34022;0,5
4;2017/01/01;3;1;122357,2829;77039,77074;45317,5122;0,588235294
5;2017/01/01;2;1;44777,55887;28193,2778;16584,28106;0,588235294
6;2017/01/01;5;1;265278,8151;215226,2085;50052,60663;0,23255814
7;2017/01/01;4;1;394602,2375;326567,369;68034,86853;0,208333333
8;2017/01/01;6;1;81152,13111;69217,99418;11934,13693;0,172413793
9;2017/01/01;3;2;135405,1283;73857,3427;61547,78558;0,833333333
10;2017/01/01;5;2;464439,59;417526,5001;46913,0899;0,112359551
11;2017/01/01;1;2;232219,795;146212,4635;86007,33148;0,588235294
12;2017/01/01;4;2;566389,7439;493775,6742;72614,06973;0,147058824
13;2017/01/01;6;2;152275,2754;131971,9054;20303,37005;0,153846154
14;2017/01/01;2;2;62932,19377;35570,37039;27361,82338;0,769230769
15;2017/01/01;7;3;419500,7374;343227,876;76272,86134;0,222222222
16;2017/01/01;3;3;746952,7518;459663,2319;287289,5199;0,625
17;2017/01/01;5;3;1648038,611;1478137,723;169900,8877;0,114942529
18;2017/01/01;1;3;771943,7361;496249,5446;275694,1914;0,555555556
19;2017/01/01;4;3;3146255,53;2784616,964;361638,5667;0,12987013
20;2017/01/01;6;3;521740,8668;443869,0957;77871,77117;0,175438596
21;2017/01/01;2;3;290423,5874;178722,2076;111701,3798;0,625
22;2017/01/01;7;4;54365,02453;39867,68465;14497,33987;0,363636364
23;2017/01/01;3;4;87845,92378;43124,36258;44721,5612;1,037037037
24;2017/01/01;5;4;246268,9145;197809,5475;48459,36705;0,24497992
25;2017/01/01;1;4;114794,6733;65050,31487;49744,35843;0,764705882
26;2017/01/01;4;4;313189,8152;252509,2885;60680,5267;0,240310078
27;2017/01/01;6;4;92647,791;70749,22222;21898,56878;0,30952381
28;2017/01/01;2;4;36987,75738;19973,38899;17014,3684;0,851851852
29;2017/01/01;7;5;21115,39872;18300,01222;2815,386496;0,153846154
30;2017/01/01;3;5;31740,77564;17940,43841;13800,33724;0,769230769
31;2017/01/01;5;5;71761,75362;61510,07453;10251,67909;0,166666667
32;2017/01/01;1;5;47157,72381;27508,67222;19649,05159;0,714285714
33;2017/01/01;4;5;125355,9747;108183,9234;17172,05133;0,158730159
34;2017/01/01;6;5;25327,67775;21905,01859;3422,659155;0,15625
35;2017/01/01;2;5;15744,23211;9913,035035;5831,197079;0,588235294
36;2017/01/01;7;6;33098,74052;29501,05133;3597,689187;0,12195122
37;2017/01/01;3;6;60964,95956;35562,89308;25402,06648;0,714285714
38;2017/01/01;5;6;165824,69;142135,4486;23689,24143;0,166666667
39;2017/01/01;1;6;60519,95985;38905,68848;21614,27138;0,555555556
40;2017/01/01;4;6;301499,4364;267238,1368;34261,29959;0,128205128
41;2017/01/01;6;6;45934,81717;38643,57635;7291,240821;0,188679245
42;2017/01/01;2;6;21563,6788;12938,20728;8625,471521;0,666666667
43;2017/01/01;7;7;986432,958;878033,7318;108399,2261;0,12345679
44;2017/01/01;3;7;1559476,382;1021725,905;537750,4764;0,526315789
45;2017/01/01;5;7;4496490,233;3771249,873;725240,3602;0,192307692
46;2017/01/01;1;7;2043859,197;1286874,309;756984,8878;0,588235294
47;2017/01/01;4;7;6131577,591;5499456,19;632121,4011;0,114942529
48;2017/01/01;6;7;1419944,284;1198077,99;221866,2944;0,185185185
49;2017/01/01;2;7;840465,4642;458435,7077;382029,7564;0,833333333
50;2017/01/01;7;8;16629,95817;13712,42165;2917,536522;0,212765957
51;2017/01/01;3;8;28586,13725;17591,46908;10994,66817;0,625
52;2017/01/01;5;8;93057;82601,1573;10455,8427;0,126582278
53;2017/01/01;1;8;30800,55634;17966,9912;12833,56514;0,714285714
54;2017/01/01;4;8;98284,92135;88046,90871;10238,01264;0,11627907
55;2017/01/01;6;8;25879,7574;21637,17422;4242,58318;0,196078431
56;2017/01/01;2;8;13689,13615;8619,085724;5070,050426;0,588235294
57;2017/01/01;7;9;42928,91758;38548,41579;4380,501794;0,113636364
58;2017/01/01;3;9;72120,58154;47251,41549;24869,16605;0,526315789
59;2017/01/01;5;9;187513,512;164646,0105;22867,50146;0,138888889
60;2017/01/01;1;9;93383,22311;57466,59884;35916,62427;0,625
61;2017/01/01;4;9;404123,9483;345555,2601;58568,68816;0,169491525
62;2017/01/01;6;9;75610,2871;60488,22968;15122,05742;0,25
63;2017/01/01;2;9;33389,15812;21464,45879;11924,69933;0,555555556
64;2017/01/01;7;10;3076128,817;2906941,732;169187,0849;0,058201058
65;2017/01/01;3;10;4370407,787;2676874,77;1693533,018;0,632653061
66;2017/01/01;5;10;10605115,42;9215479,602;1389635,813;0,150793651
67;2017/01/01;1;10;5766279,468;3422161,51;2344117,958;0,684981685
68;2017/01/01;4;10;17039679,81;14859178,41;2180501,4;0,146744412
69;2017/01/01;6;10;4460386,781;4119140,322;341246,4585;0,082844097
70;2017/01/01;2;10;1951777,994;1158337,809;793440,1844;0,684981685
71;2017/01/01;7;11;55838,48785;50198,23656;5640,251298;0,112359551
72;2017/01/01;3;11;80186,6657;53457,77713;26728,88857;0,5
73;2017/01/01;5;11;213831,1085;176316,879;37514,22957;0,212765957
74;2017/01/01;1;11;119931,3609;71958,81652;47972,54435;0,666666667
75;2017/01/01;4;11;540866,9216;460140,5154;80726,4062;0,175438596
76;2017/01/01;6;11;87016,44479;75715,60781;11300,83699;0,149253731
77;2017/01/01;2;11;38851,00423;21959,26326;16891,74097;0,769230769
78;2017/01/01;7;12;110701,5956;86636,03135;24065,56426;0,277777778
79;2017/01/01;3;12;208135,5843;113528,5005;94607,08376;0,833333333
80;2017/01/01;5;12;463101,675;389593,4726;73508,20238;0,188679245
81;2017/01/01;1;12;237488,0385;149529,5057;87958,53276;0,588235294
82;2017/01/01;4;12;992360,7321;837304,3677;155056,3644;0,185185185
83;2017/01/01;6;12;184625,2525;154358,8177;30266,43483;0,196078431
84;2017/01/01;2;12;84584,78082;56389,85388;28194,92694;0,5
85;2017/01/01;7;13;10789,54433;9577,235978;1212,308352;0,126582278
86;2017/01/01;3;13;16051,92945;10701,2863;5350,643149;0,5
87;2017/01/01;5;13;35841,97945;31814,79075;4027,188702;0,126582278
88;2017/01/01;1;13;17738,74237;10643,24542;7095,496949;0,666666667
89;2017/01/01;4;13;88693,71186;75048,52542;13645,18644;0,181818182
90;2017/01/01;6;13;15390,96765;12373,13085;3017,836794;0,243902439
91;2017/01/01;2;13;6717,495507;4133,843389;2583,652118;0,625
92;2017/01/01;7;14;19938,29314;16377,88365;3560,409488;0,217391304
93;2017/01/01;3;14;35235,21311;22185,13418;13050,07893;0,588235294
94;2017/01/01;5;14;109660,6122;96448,49029;13212,12196;0,136986301
95;2017/01/01;1;14;48848,81818;32004,39812;16844,42006;0,526315789
96;2017/01/01;4;14;195395,2727;152918,0395;42477,2332;0,277777778
97;2017/01/01;6;14;34225,28662;30051,47118;4173,815442;0,138888889
98;2017/01/01;2;14;17277,71704;11518,47803;5759,239014;0,5
99;2017/01/01;7;15;1026702,586;801450,2609;225252,3249;0,281055901
100;2017/01/01;3;15;1370898,009;743712,1697;627185,8389;0,843317972
101;2017/01/01;5;15;4389389,037;3353851,542;1035537,495;0,308760684
102;2017/01/01;1;15;2345310,809;1547905,134;797405,675;0,515151515
103;2017/01/01;4;15;5695754,821;4192075,549;1503679,273;0,358695652
104;2017/01/01;6;15;1265723,294;1079029,108;186694,1858;0,173020528
105;2017/01/01;2;15;679607,1094;329918,3604;349688,749;1,059925094
106;2017/01/01;7;16;23398,26598;22395,48315;1002,782828;0,044776119
107;2017/01/01;3;16;41568,34799;26079,62006;15488,72792;0,593901594
108;2017/01/01;5;16;96170,83898;89948,01999;6222,818993;0,06918239
109;2017/01/01;1;16;49772,62719;35725,68574;14046,94145;0,393188854
110;2017/01/01;4;16;113481,59;92574,78938;20906,80062;0,225836869
111;2017/01/01;6;16;36844,67208;36402,53601;442,1360649;0,012145749
112;2017/01/01;2;16;18757,2876;12035,92621;6721,361391;0,558441558
113;2017/01/01;7;17;98911,30769;81087,08633;17824,22137;0,219815783
114;2017/01/01;3;17;133149,8373;93299,99312;39849,84416;0,427115189
115;2017/01/01;5;17;351598,7891;299929,054;51669,73509;0,172273191
116;2017/01/01;1;17;152558,1186;86542,06003;66016,05861;0,762820513
117;2017/01/01;4;17;661833,0147;626108,2649;35724,74983;0,057058422
118;2017/01/01;6;17;133149,8373;122117,4222;11032,41509;0,090342679
119;2017/01/01;2;17;69237,91538;45164,4248;24073,49058;0,533018868
120;2017/01/01;7;18;32386,53526;27598,40828;4788,126978;0,173492867
121;2017/01/01;3;18;57219,66134;40462,47481;16757,18654;0,414141414
122;2017/01/01;5;18;192578;171246,2831;21331,71692;0,124567474
123;2017/01/01;1;18;62621,51748;43765,48277;18856,03471;0,430842607
124;2017/01/01;4;18;235654,6579;213945,8652;21708,79273;0,101468625
125;2017/01/01;6;18;56676,43671;55009,48269;1666,954021;0,03030303
126;2017/01/01;2;18;26972,52108;16345,34778;10627,17331;0,650165017
127;2017/01/01;7;19;197689,5676;178744,3173;18945,25023;0,105990783
128;2017/01/01;3;19;344791,9057;229154,005;115637,9007;0,50462963
129;2017/01/01;5;19;975268,5333;874365,7505;100902,7829;0,115401115
130;2017/01/01;1;19;386427,1547;238940,7907;147486,3641;0,617250674
131;2017/01/01;4;19;1280039,95;1297327,087;-17287,13747;-0,013325196
132;2017/01/01;6;19;298551,5918;287182,506;11369,08587;0,039588365
133;2017/01/01;2;19;159506,5358;105028,919;54477,61685;0,518691589
134;2017/01/01;7;20;92850,03626;92720,47807;129,5581901;0,001397299
135;2017/01/01;3;20;155940,4455;108438,5867;47501,85879;0,438053097
136;2017/01/01;5;20;540593,5444;500049,0286;40544,51583;0,081081081
137;2017/01/01;1;20;170713,7509;94047,7573;76665,99358;0,815181518
138;2017/01/01;4;20;501581,6392;441584,7585;59996,88069;0,135867191
139;2017/01/01;6;20;132932,8388;129057,1912;3875,647554;0,030030466
140;2017/01/01;2;20;74736,43472;44841,86083;29894,57389;0,666666667
141;2017/01/01;7;21;18661,79039;19146,99694;-485,2065502;-0,025341131
142;2017/01/01;3;21;33387,10938;19437,10411;13950,00526;0,717699776
143;2017/01/01;5;21;61935,50725;60298,13177;1637,375479;0,027154664
144;2017/01/01;1;21;29472,75862;18567,83793;10904,92069;0,587301587
145;2017/01/01;4;21;152626,7857;129133,1626;23493,62309;0,181933305
146;2017/01/01;6;21;21475,12563;18790,73492;2684,390704;0,142857143
147;2017/01/01;2;21;13545,32488;8794,785941;4750,53894;0,540154015
148;2017/01/01;7;22;150547,1377;141077,2371;9469,900595;0,067125645
149;2017/01/01;3;22;264215,2785;157208,0907;107007,1878;0,680672269
150;2017/01/01;5;22;703001,3661;691637,7823;11363,58373;0,016429964
151;2017/01/01;1;22;285275,9167;195783,805;89492,11164;0,4570966
152;2017/01/01;4;22;874846,1444;765888,0337;108958,1107;0,142263759
153;2017/01/01;6;22;208849,2122;194096,4593;14752,75286;0,076007326
154;2017/01/01;2;22;103464,0644;72424,84507;31039,21932;0,428571429
155;2017/01/01;7;23;145897,2754;142909,2263;2988,049149;0,020908721
156;2017/01/01;3;23;236644,378;166503,7853;70140,59269;0,421255244
157;2017/01/01;5;23;533825,6899;461686,6215;72139,06843;0,156251156
158;2017/01/01;1;23;234229,6395;136969,5293;97260,11011;0,710085744
159;2017/01/01;4;23;1059438,677;1046329,998;13108,67924;0,012528246
160;2017/01/01;6;23;182661,8408;160791,282;21870,55886;0,136018313
161;2017/01/01;2;23;97402,42433;56337,2408;41065,18352;0,728917195
162;2017/01/01;7;24;33644,90349;30646,12689;2998,776596;0,097851732
163;2017/01/01;3;24;55542,60339;40855,03227;14687,57112;0,359504578
164;2017/01/01;5;24;126038,9846;115692,6668;10346,31783;0,089429331
165;2017/01/01;1;24;68271,11667;52011,29085;16259,82581;0,312621078
166;2017/01/01;4;24;273084,4667;265926,0125;7158,454153;0,026918969
167;2017/01/01;6;24;41376,43434;42016,38986;-639,9555178;-0,015231092
168;2017/01/01;2;24;20793,2335;12027,94043;8765,293068;0,728744303
169;2017/01/01;7;25;40241,16376;43044,3461;-2803,182343;-0,065123125
170;2017/01/01;3;25;63553,28621;45749,18615;17804,10006;0,38916758
171;2017/01/01;5;25;141772,7154;138207,4802;3565,23517;0,025796253
172;2017/01/01;1;25;77438,87815;55270,70863;22168,16952;0,401083505
173;2017/01/01;4;25;209436,9659;213751,3674;-4314,401498;-0,020184205
174;2017/01/01;6;25;53576,89826;50368,98147;3207,916783;0,063688339
175;2017/01/01;2;25;28224,27718;21947,19794;6277,079245;0,28600823
176;2017/01/01;7;26;19855,02115;20187,27549;-332,2543334;-0,016458602
177;2017/01/01;3;26;32569,75079;23867,95778;8701,79301;0,364580543
178;2017/01/01;5;26;76478,6;71818,67114;4659,92886;0,064884643
179;2017/01/01;1;26;38098,19557;25116,98083;12981,21474;0,516830221
180;2017/01/01;4;26;125909,8902;121896,7748;4013,115439;0,032922245
181;2017/01/01;6;26;30912,00898;29476,41892;1435,590064;0,048703001
182;2017/01/01;2;26;15596,08912;10085,84905;5510,24007;0,546333783
183;2017/01/01;7;27;535072,6557;555477,7397;-20405,08393;-0,036734296
184;2017/01/01;3;27;834234,6837;506365,2851;327869,3986;0,647495806
185;2017/01/01;5;27;2194247,529;2139830,191;54417,33873;0,025430681
186;2017/01/01;1;27;1231676,679;731391,0326;500285,6466;0,684019388
187;2017/01/01;4;27;4662776;4640085,57;22690,43018;0,004890089
188;2017/01/01;6;27;786492,3373;759692,611;26799,7264;0,035277066
189;2017/01/01;2;27;358675,0769;252352,748;106322,329;0,421324237
190;2017/01/01;7;28;1216075,733;1074671,578;141404,155;0,131578947
191;2017/01/01;3;28;2383508,437;1466774,423;916734,0143;0,625
192;2017/01/01;5;28;4619202,398;4147855,214;471347,1834;0,113636364
193;2017/01/01;1;28;2327644,958;1432396,897;895248,0608;0,625
194;2017/01/01;4;28;11034761,28;10852155,55;182605,7338;0,016826679
195;2017/01/01;6;28;1664461,199;1433286,033;231175,1666;0,161290323
196;2017/01/01;2;28;877580,4261;574966,486;302613,94;0,526315789
197;2017/01/01;7;29;9492,261111;8401,196616;1091,064496;0,12987013
198;2017/01/01;3;29;18438,20504;12080,2033;6358,001737;0,526315789
199;2017/01/01;5;29;51258,21;44423,782;6834,428;0,153846154
